key,tagNumber,name,description,area,facility,system,parentTag,classId,className,tagDiscipline,project,labels,classViewExtId,cfihosTagClassCode,avejaTagStatus,useProjectStatus,purchaseOrderNo,originatingContractor,dateInstalled,updatedDate
23-KA-9101,23-KA-9101,PH 1st Stage Gas Compressor,1st stage centrifugal gas compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,COMP,Compressor,Rotating,VRD,rotating-equipment,Compressor,COMP-001,Active,N,PO-2008-001,Aker Solutions,2009-06-15,2024-01-15
23-KA-9102,23-KA-9102,PH 2nd Stage Gas Compressor,2nd stage centrifugal gas compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,COMP,Compressor,Rotating,VRD,rotating-equipment,Compressor,COMP-002,Active,N,PO-2008-001,Aker Solutions,2009-06-15,2024-02-20
23-KA-9103,23-KA-9103,PH 3rd Stage Gas Compressor,3rd stage centrifugal gas compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,COMP,Compressor,Rotating,VRD,rotating-equipment,Compressor,COMP-003,Active,N,PO-2008-002,Aker Solutions,2009-08-01,2024-03-10
23-PA-9201A,23-PA-9201A,Seawater Lift Pump A,Centrifugal seawater lift pump train A,23,Valhall PH,Water Treatment,VAL-PH-23-WT,PUMP,Pump,Rotating,VRD,rotating-equipment,Pump,PUMP-001,Active,N,PO-2009-010,Sulzer,2010-03-20,2024-04-05
23-PA-9201B,23-PA-9201B,Seawater Lift Pump B,Centrifugal seawater lift pump train B,23,Valhall PH,Water Treatment,VAL-PH-23-WT,PUMP,Pump,Rotating,VRD,rotating-equipment,Pump,PUMP-002,Active,N,PO-2009-010,Sulzer,2010-03-20,2024-04-05
23-PA-9202,23-PA-9202,Chemical Injection Pump,Positive displacement chemical injection pump,23,Valhall PH,Water Treatment,VAL-PH-23-WT,PUMP,Pump,Rotating,VRD,rotating-equipment,Pump,PUMP-003,Active,N,PO-2010-005,Milton Roy,2011-01-15,2023-11-22
23-XV-92501,23-XV-92501,1st Stage Suction ESDV,Emergency shutdown valve 1st stage suction,23,Valhall PH,Gas Compression,VAL-PH-23-GC,VALV,Valve,Piping,VRD,piping-equipment,Valve,VALV-001,Active,N,PO-2008-003,Cameron,2009-06-15,2024-01-10
23-PCV-92538,23-PCV-92538,1st Stage Performance Control Valve,Anti-surge control valve 1st stage,23,Valhall PH,Gas Compression,VAL-PH-23-GC,VALV,Valve,Instrument,VRD,piping-equipment,Valve,VALV-002,Active,N,PO-2008-004,Fisher,2009-07-01,2024-02-15
23-PSV-92550,23-PSV-92550,1st Stage Safety Relief Valve,Pressure safety valve 1st stage discharge,23,Valhall PH,Gas Compression,VAL-PH-23-GC,VALV,Valve,Safety,VRD,safety-equipment,Valve,VALV-003,Active,N,PO-2008-003,Consolidated,2009-06-15,2023-12-20
23-XV-92601,23-XV-92601,2nd Stage Suction ESDV,Emergency shutdown valve 2nd stage suction,23,Valhall PH,Gas Compression,VAL-PH-23-GC,VALV,Valve,Piping,VRD,piping-equipment,Valve,VALV-004,Active,N,PO-2008-003,Cameron,2009-06-15,2024-01-10
23-GT-9401,23-GT-9401,Gas Turbine Generator A,GE LM2500 gas turbine generator set A,23,Valhall PH,Power Generation,VAL-PH-23-EL,TURB,Turbine,Rotating,VRD,rotating-equipment,Turbine,TURB-001,Active,N,PO-2007-001,GE Aviation,2009-03-01,2024-05-10
23-GT-9402,23-GT-9402,Gas Turbine Generator B,GE LM2500 gas turbine generator set B,23,Valhall PH,Power Generation,VAL-PH-23-EL,TURB,Turbine,Rotating,VRD,rotating-equipment,Turbine,TURB-002,Active,N,PO-2007-001,GE Aviation,2009-03-01,2024-05-10
23-EA-9501,23-EA-9501,1st Stage Discharge Cooler,Shell and tube gas cooler after 1st stage,23,Valhall PH,Gas Compression,VAL-PH-23-GC,HTEX,HeatExchanger,Static,VRD,static-equipment,HeatExchanger,HTEX-001,Active,N,PO-2008-005,Alfa Laval,2009-06-15,2024-03-01
23-EA-9502,23-EA-9502,2nd Stage Suction Cooler,Shell and tube gas cooler before 2nd stage,23,Valhall PH,Gas Compression,VAL-PH-23-GC,HTEX,HeatExchanger,Static,VRD,static-equipment,HeatExchanger,HTEX-002,Active,N,PO-2008-005,Alfa Laval,2009-06-15,2024-03-01
23-EA-9503,23-EA-9503,Lube Oil Cooler,Plate heat exchanger for compressor lube oil,23,Valhall PH,Gas Compression,VAL-PH-23-GC,HTEX,HeatExchanger,Static,VRD,static-equipment,HeatExchanger,HTEX-003,Active,N,PO-2008-006,Alfa Laval,2009-07-01,2023-10-15
23-L-92501,23-L-92501,1st Stage Suction Line 16in,16 inch suction line from scrubber to 1st stage compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,PIPE,PipingAndPipelineEquipment,Piping,VRD,piping-equipment,PipingAndPipelineEquipment,PIPE-001,Active,N,PO-2008-007,Subsea 7,2009-05-01,2023-08-15
23-L-92601,23-L-92601,2nd Stage Suction Line 12in,12 inch suction line to 2nd stage compressor,23,Valhall PH,Gas Compression,VAL-PH-23-GC,PIPE,PipingAndPipelineEquipment,Piping,VRD,piping-equipment,PipingAndPipelineEquipment,PIPE-002,Active,N,PO-2008-007,Subsea 7,2009-05-01,2023-08-15
